Genres,Rating,Reviews,Installs
casino,158.6,5103971,130260700
simulation,43.4,8180535,151100000
card,183.9,6852815,162826100
board,176.00000000000003,4333647,167127210
role playing,78.7,5885954,174100000
music,84.0,5097417,270120500
education,240.70000000000007,13834041,397878920
strategy,96.5,181157700,957300000
sports,58.900000000000006,116627772,1016000000
adventure,350.00000000000006,63025595,1041695320
puzzle,172.09999999999997,31219068,1073200000
racing,388.1,89096887,2000247320
casual,191.79999999999998,263169356,5949000000
action,1493.4999999999995,313193086,8336039190
arcade,881.8999999999999,308758806,9717129155
